Atributo,Valor,Nombre
Equipo,Astros,Gerrit Cole
G,2,Gerrit Cole
GS,2,Gerrit Cole
ERA,3.86,Gerrit Cole
W,1,Gerrit Cole
L,1,Gerrit Cole
SV,0,Gerrit Cole
IP,14,Gerrit Cole
H,11,Gerrit Cole
BB,3,Gerrit Cole
SO,15,Gerrit Cole
WHIP,1,Gerrit Cole
Equipo,Astros,Chris Devenski
G,3,Chris Devenski
GS,0,Chris Devenski
ERA,9,Chris Devenski
W,0,Chris Devenski
L,0,Chris Devenski
SV,0,Chris Devenski
IP,3,Chris Devenski
H,3,Chris Devenski
BB,1,Chris Devenski
SO,3,Chris Devenski
WHIP,1.333,Chris Devenski
Equipo,Astros,Zack Greinke
G,2,Zack Greinke
GS,2,Zack Greinke
ERA,2.45,Zack Greinke
W,0,Zack Greinke
L,0,Zack Greinke
SV,0,Zack Greinke
IP,11,Zack Greinke
H,9,Zack Greinke
BB,5,Zack Greinke
SO,9,Zack Greinke
WHIP,1.273,Zack Greinke
Equipo,Astros,Will Harris
G,5,Will Harris
GS,0,Will Harris
ERA,4.5,Will Harris
W,0,Will Harris
L,1,Will Harris
SV,0,Will Harris
IP,4,Will Harris
H,5,Will Harris
BB,0,Will Harris
SO,4,Will Harris
WHIP,1.25,Will Harris
Equipo,Astros,Josh James
G,3,Josh James
GS,0,Josh James
ERA,10.8,Josh James
W,1,Josh James
L,0,Josh James
SV,0,Josh James
IP,1.2,Josh James
H,2,Josh James
BB,3,Josh James
SO,5,Josh James
WHIP,3,Josh James
Equipo,Astros,Roberto Osuna
G,2,Roberto Osuna
GS,0,Roberto Osuna
ERA,3.86,Roberto Osuna
W,0,Roberto Osuna
L,0,Roberto Osuna
SV,1,Roberto Osuna
IP,2.1,Roberto Osuna
H,3,Roberto Osuna
BB,2,Roberto Osuna
SO,1,Roberto Osuna
WHIP,2.143,Roberto Osuna
Equipo,Astros,Brad Peacock
G,3,Brad Peacock
GS,0,Brad Peacock
ERA,3,Brad Peacock
W,0,Brad Peacock
L,0,Brad Peacock
SV,0,Brad Peacock
IP,3,Brad Peacock
H,1,Brad Peacock
BB,3,Brad Peacock
SO,4,Brad Peacock
WHIP,1.333,Brad Peacock
Equipo,Astros,Ryan Pressly
G,4,Ryan Pressly
GS,0,Ryan Pressly
ERA,9,Ryan Pressly
W,0,Ryan Pressly
L,0,Ryan Pressly
SV,0,Ryan Pressly
IP,3,Ryan Pressly
H,3,Ryan Pressly
BB,2,Ryan Pressly
SO,3,Ryan Pressly
WHIP,1.667,Ryan Pressly
Equipo,Astros,Hector Rondon
G,2,Hector Rondon
GS,0,Hector Rondon
ERA,0,Hector Rondon
W,0,Hector Rondon
L,0,Hector Rondon
SV,0,Hector Rondon
IP,1,Hector Rondon
H,2,Hector Rondon
BB,1,Hector Rondon
SO,0,Hector Rondon
WHIP,3,Hector Rondon
Equipo,Astros,Joe Smith
G,4,Joe Smith
GS,0,Joe Smith
ERA,5.4,Joe Smith
W,0,Joe Smith
L,0,Joe Smith
SV,0,Joe Smith
IP,3.1,Joe Smith
H,4,Joe Smith
BB,1,Joe Smith
SO,4,Joe Smith
WHIP,1.5,Joe Smith
Equipo,Astros,Jose Urquidy
G,2,Jose Urquidy
GS,1,Jose Urquidy
ERA,0,Jose Urquidy
W,1,Jose Urquidy
L,0,Jose Urquidy
SV,0,Jose Urquidy
IP,5.2,Jose Urquidy
H,3,Jose Urquidy
BB,0,Jose Urquidy
SO,4,Jose Urquidy
WHIP,0.529,Jose Urquidy
Equipo,Astros,Justin Verlander
G,2,Justin Verlander
GS,2,Justin Verlander
ERA,5.73,Justin Verlander
W,0,Justin Verlander
L,2,Justin Verlander
SV,0,Justin Verlander
IP,11,Justin Verlander
H,12,Justin Verlander
BB,6,Justin Verlander
SO,9,Justin Verlander
WHIP,1.636,Justin Verlander
Equipo,Astros,Astros de Houston
G,34,Astros de Houston
GS,7,Astros de Houston
ERA,4.29,Astros de Houston
W,3,Astros de Houston
L,4,Astros de Houston
SV,1,Astros de Houston
IP,63,Astros de Houston
H,58,Astros de Houston
BB,27,Astros de Houston
SO,61,Astros de Houston
WHIP,1.349,Astros de Houston
Equipo,Astros,Patrick Corbin
G,3,Patrick Corbin
GS,1,Patrick Corbin
ERA,3.6,Patrick Corbin
W,1,Patrick Corbin
L,1,Patrick Corbin
SV,0,Patrick Corbin
IP,10,Patrick Corbin
H,10,Patrick Corbin
BB,2,Patrick Corbin
SO,10,Patrick Corbin
WHIP,1.2,Patrick Corbin
Equipo,Nationals,Sean Doolittle
G,3,Sean Doolittle
GS,0,Sean Doolittle
ERA,0,Sean Doolittle
W,0,Sean Doolittle
L,0,Sean Doolittle
SV,1,Sean Doolittle
IP,3,Sean Doolittle
H,2,Sean Doolittle
BB,1,Sean Doolittle
SO,2,Sean Doolittle
WHIP,1,Sean Doolittle
Equipo,Nationals,Javy Guerra
G,2,Javy Guerra
GS,0,Javy Guerra
ERA,3,Javy Guerra
W,0,Javy Guerra
L,0,Javy Guerra
SV,0,Javy Guerra
IP,3,Javy Guerra
H,6,Javy Guerra
BB,0,Javy Guerra
SO,1,Javy Guerra
WHIP,2,Javy Guerra
Equipo,Nationals,Daniel Hudson
G,3,Daniel Hudson
GS,0,Daniel Hudson
ERA,9,Daniel Hudson
W,0,Daniel Hudson
L,0,Daniel Hudson
SV,0,Daniel Hudson
IP,4,Daniel Hudson
H,7,Daniel Hudson
BB,1,Daniel Hudson
SO,5,Daniel Hudson
WHIP,2,Daniel Hudson
Equipo,Nationals,Tanner Rainey
G,4,Tanner Rainey
GS,0,Tanner Rainey
ERA,10.13,Tanner Rainey
W,0,Tanner Rainey
L,0,Tanner Rainey
SV,0,Tanner Rainey
IP,2.2,Tanner Rainey
H,1,Tanner Rainey
BB,4,Tanner Rainey
SO,2,Tanner Rainey
WHIP,1.875,Tanner Rainey
Equipo,Nationals,Fernando Rodney
G,3,Fernando Rodney
GS,0,Fernando Rodney
ERA,9,Fernando Rodney
W,0,Fernando Rodney
L,0,Fernando Rodney
SV,0,Fernando Rodney
IP,2,Fernando Rodney
H,2,Fernando Rodney
BB,6,Fernando Rodney
SO,0,Fernando Rodney
WHIP,4,Fernando Rodney
Equipo,Nationals,Joe Ross
G,2,Joe Ross
GS,1,Joe Ross
ERA,5.14,Joe Ross
W,0,Joe Ross
L,1,Joe Ross
SV,0,Joe Ross
IP,7,Joe Ross
H,6,Joe Ross
BB,2,Joe Ross
SO,1,Joe Ross
WHIP,1.143,Joe Ross
Equipo,Nationals,Anibal Sanchez
G,1,Anibal Sanchez
GS,1,Anibal Sanchez
ERA,6.75,Anibal Sanchez
W,0,Anibal Sanchez
L,1,Anibal Sanchez
SV,0,Anibal Sanchez
IP,5.1,Anibal Sanchez
H,10,Anibal Sanchez
BB,1,Anibal Sanchez
SO,4,Anibal Sanchez
WHIP,2.063,Anibal Sanchez
Equipo,Nationals,Max Scherzer
G,2,Max Scherzer
GS,2,Max Scherzer
ERA,3.6,Max Scherzer
W,1,Max Scherzer
L,0,Max Scherzer
SV,0,Max Scherzer
IP,10,Max Scherzer
H,12,Max Scherzer
BB,7,Max Scherzer
SO,10,Max Scherzer
WHIP,1.9,Max Scherzer
Equipo,Nationals,Stephen Strasburg
G,2,Stephen Strasburg
GS,2,Stephen Strasburg
ERA,2.51,Stephen Strasburg
W,2,Stephen Strasburg
L,0,Stephen Strasburg
SV,0,Stephen Strasburg
IP,14.1,Stephen Strasburg
H,12,Stephen Strasburg
BB,3,Stephen Strasburg
SO,14,Stephen Strasburg
WHIP,1.047,Stephen Strasburg
Equipo,Nationals,Wander Suero
G,3,Wander Suero
GS,0,Wander Suero
ERA,0,Wander Suero
W,0,Wander Suero
L,0,Wander Suero
SV,0,Wander Suero
IP,1.2,Wander Suero
H,0,Wander Suero
BB,0,Wander Suero
SO,2,Wander Suero
WHIP,0,Wander Suero
Equipo,Nationals,Nationals
G,28,Nationals
GS,7,Nationals
ERA,4.29,Nationals
W,4,Nationals
L,3,Nationals
SV,1,Nationals
IP,63,Nationals
H,68,Nationals
BB,27,Nationals
SO,51,Nationals
WHIP,1.508,Nationals
